"taxon"	"AC1"	"AC2"	"AC3"	"AC4"	"AC5"	"AC6"	"AC7"	"AC8"	"AC9"	"AC10"	"AC11"	"AC12"	"AS1"	"AS2"	"AS3"	"AS4"	"AS5"	"AS6"	"AS7"	"AS8"	"AS9"	"AS10"	"AS11"	"AS12"	"EC1"	"EC2"	"EC3"	"EC4"	"EC5"	"EC6"	"EC7"	"EC8"	"EC9"	"EC10"	"EC11"	"ES1"	"ES2"	"ES3"	"ES4"	"ES5"	"ES6"	"ES7"	"ES8"	"ES9"	"ES10"	"ES11"
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__IMCC26256; f__IMCC26256; g__IMCC26256"	"8175"	"10331"	"489"	"89"	"1194"	"10559"	"1981"	"1486"	"2407"	"2625"	"828"	"2107"	"48"	"315"	"170"	"123"	"149"	"302"	"184"	"122"	"126"	"163"	"190"	"397"	"0"	"2357"	"1599"	"2008"	"211"	"100"	"4730"	"2007"	"0"	"997"	"167"	"505"	"475"	"875"	"773"	"586"	"343"	"280"	"525"	"723"	"505"	"520"
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales"	"3013"	"1771"	"650"	"32"	"536"	"938"	"1129"	"1249"	"1044"	"1200"	"4797"	"554"	"375"	"607"	"743"	"418"	"499"	"552"	"1184"	"447"	"1005"	"470"	"1357"	"1171"	"3261"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Iamiaceae; g__Iamia"	"389"	"679"	"272"	"101"	"0"	"196"	"538"	"290"	"117"	"233"	"483"	"0"	"33"	"178"	"98"	"64"	"88"	"84"	"95"	"71"	"55"	"93"	"49"	"34"	"2808"	"4132"	"958"	"2277"	"945"	"0"	"1169"	"479"	"0"	"614"	"177"	"690"	"775"	"881"	"720"	"692"	"453"	"481"	"755"	"914"	"648"	"929"
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Ilumatobacteraceae; g__CL500-29_marine_group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"424"	"0"	"347"	"0"	"13"	"11"	"0"	"293"	"0"	"562"	"735"	"1108"	"729"	"865"	"176"	"297"	"356"	"211"	"398"	"466"
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Ilumatobacteraceae; g__Ilumatobacter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"134"	"649"	"2341"	"4424"	"911"	"119"	"125"	"934"	"0"	"1047"	"301"	"529"	"839"	"654"	"748"	"752"	"315"	"284"	"647"	"522"	"501"	"719"
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Ilumatobacteraceae; g__uncultured"	"740"	"819"	"354"	"0"	"1394"	"224"	"1034"	"386"	"431"	"155"	"545"	"0"	"24"	"199"	"107"	"94"	"210"	"57"	"111"	"75"	"34"	"66"	"0"	"0"	"904"	"4583"	"2306"	"2369"	"480"	"1279"	"3964"	"10481"	"0"	"325"	"491"	"70"	"70"	"14"	"0"	"43"	"34"	"23"	"0"	"37"	"50"	"34"
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Microtrichaceae; g__uncultured"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"98"	"0"	"207"	"851"	"0"	"391"	"0"	"1068"	"52"	"37"	"28"	"46"	"36"	"44"	"27"	"19"	"38"	"12"	"26"	"29"
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__uncultured; g__uncultured"	"5472"	"6213"	"327"	"71"	"974"	"4537"	"1736"	"812"	"1675"	"1543"	"1200"	"822"	"21"	"210"	"83"	"135"	"110"	"246"	"106"	"149"	"18"	"157"	"106"	"72"	"0"	"0"	"0"	"1191"	"867"	"54"	"0"	"34"	"0"	"0"	"0"	"39"	"35"	"82"	"69"	"27"	"18"	"0"	"30"	"44"	"22"	"22"
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__uncultured; f__uncultured; g__uncultured"	"3446"	"2366"	"619"	"94"	"2045"	"1265"	"2670"	"3068"	"1731"	"2008"	"5698"	"2232"	"3024"	"2475"	"2614"	"2802"	"2986"	"4412"	"4288"	"2218"	"3642"	"3548"	"5131"	"3460"	"671"	"0"	"987"	"0"	"0"	"0"	"0"	"0"	"1163"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"	"111"	"0"	"47"	"0"	"0"	"0"	"161"	"281"	"71"	"125"	"414"	"108"	"48"	"55"	"0"	"0"	"77"	"113"	"80"	"54"	"32"	"37"	"32"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
